imdb_id,title,year,genres,rating,votes,actors,directors,tags,score
tt15548886,Trahimam,2022,"Drama, Thriller",7.8,1097.0,"Anurag Singh Tomar, Nair Aryann, Pankaj Berry, Adi Irani, Ekta Jain",Dushyant Pratap Singh,drama thriller drama thriller drama thriller dushyant pratap singh dushyant pratap singh anurag singh tomar nair aryann pankaj berry adi irani ekta jain,6.3344696015981725
tt1555093,The Seasoning House,2012,"Drama, Horror, Thriller",6.1,12508.0,"Rosie Day, Sean Pertwee, Kevin Howarth, Anna Walton, Jemma Powell",Paul Hyett,drama horror thriller drama horror thriller drama horror thriller paul hyett paul hyett rosie day sean pertwee kevin howarth anna walton jemma powell,6.2726110571948945
tt15553956,Love and Leashes,2022,"Comedy, Romance",6.3,7958.0,"Seohyun, Lee Jun-young, Kim Bo-ra, Lee El, Kim Han-na",Park Hyeon-jin,comedy romance comedy romance comedy romance park hyeon-jin park hyeon-jin seohyun lee jun-young kim bo-ra lee el kim han-na,6.307134974104953
tt15554410,Aaja Mexico Challiye,2022,"Drama, Thriller",7.1,1816.0,"Ammy Virk, Nasir Chinyoti, Yasaman Mohsani, Honey Mattu, Zafri Khan",Rakesh Dhawan,drama thriller drama thriller drama thriller rakesh dhawan rakesh dhawan ammy virk nasir chinyoti yasaman mohsani honey mattu zafri khan,6.3310014192848545
tt15554466,Vanilla Ice Cream,2024,Comedy,8.1,1171.0,"Satish Bhatt, Vallabh Gada, Muni Jha, Nikunj Modi, Vandana Pathak",Preet,comedy comedy comedy preet preet satish bhatt vallabh gada muni jha nikunj modi vandana pathak,6.341877354970446
tt15554616,Makal,2022,Drama,5.3,1469.0,"Jayaram, Meera Jasmine, Devika Sanjay, Innocent Vareed Thekkethala, Balaji Manohar",Sathyan Anthikad,drama drama drama sathyan anthikad sathyan anthikad jayaram meera jasmine devika sanjay innocent vareed thekkethala balaji manohar,6.284321108875616
tt15554778,Madhuram Jeevamruthabindu,2025,Family,6.4,1799.0,"Punya Elizabeth, Vinay Forrt, Dayyana Hameed, Jaffer Idukki, Basil Joseph","Appu N. Bhattathiri, Prince Joy, Jenith Kachappilly, Shamzu Zayba",family family family appu n. bhattathiri prince joy jenith kachappilly shamzu zayba appu n. bhattathiri prince joy jenith kachappilly shamzu zayba punya elizabeth vinay forrt dayyana hameed jaffer idukki basil joseph,6.310705557009463
tt15554886,Tales of Babylon,2023,"Action, Comedy, Crime",6.6,5842.0,"Clive Russell, Billie Gadsdon, Paul Cassidy, Ray Calleja, Brandon Burke",Pelayo De Lario,action comedy crime action comedy crime action comedy crime pelayo de lario pelayo de lario clive russell billie gadsdon paul cassidy ray calleja brandon burke,6.333623585353392
tt15554914,Baipan Bhari Deva,2023,"Comedy, Drama, Family",7.9,1179.0,"Nutan Aasgaonkar, Suruchi Adarkar, Suchitra Bandekar, Varad Chavan, Tushar Dalvi",Kedar Shinde,comedy drama family comedy drama family comedy drama family kedar shinde kedar shinde nutan aasgaonkar suruchi adarkar suchitra bandekar varad chavan tushar dalvi,6.3383050889239305
tt15558152,The Visitor,2022,"Drama, Horror, Mystery",4.3,3409.0,"Finn Jones, Jessica McNamee, Thomas Francis Murphy, Dane Rhodes, Donna Biscoe",Justin P. Lange,drama horror mystery drama horror mystery drama horror mystery justin p. lange justin p. lange finn jones jessica mcnamee thomas francis murphy dane rhodes donna biscoe,6.201607585402609
tt15559582,Bezos,2023,"Biography, Drama, History",4.4,3091.0,"Armando Gutierrez, Emilio Estefan Jr., Eliana Ghen, Marcus Lemonis, Kevin Sorbo",Khoa Le,biography drama history biography drama history biography drama history khoa le khoa le armando gutierrez emilio estefan jr. eliana ghen marcus lemonis kevin sorbo,6.215889623469729
tt15560132,"Lovely, Dark, and Deep",2023,Horror,4.9,3019.0,"Georgina Campbell, Nick Blood, Wai Ching Ho, Mick Greer, Celia Williams",Teresa Sutherland,horror horror horror teresa sutherland teresa sutherland georgina campbell nick blood wai ching ho mick greer celia williams,6.241554026104474
tt15560314,The Monk and the Gun,2023,"Comedy, Drama",7.1,4456.0,"Tandin Wangchuk, Tandin Phubz, Kelsang Choejay, Tandin Sonam, Choeying Jatsho",Pawo Choyning Dorji,comedy drama comedy drama comedy drama pawo choyning dorji pawo choyning dorji tandin wangchuk tandin phubz kelsang choejay tandin sonam choeying jatsho,6.362068146444159
tt15560626,Bhoothakaalam,2022,"Drama, Horror, Mystery",7.4,5702.0,"Shane Nigam, Revathi, Saiju Kurup, Valsala Menon, James Eliya",Rahul Sadasivan,drama horror mystery drama horror mystery drama horror mystery rahul sadasivan rahul sadasivan shane nigam revathi saiju kurup valsala menon james eliya,6.401561992977915
tt15561202,Fight Club,2023,Action,5.5,1960.0,"Mohana Kannan, Vijay Kumar, Monisha Mohan Menon, Avinash Raghudevan, Kaarthekeyen Santhanam",Abbas A Rahmath,action action action abbas a rahmath abbas a rahmath mohana kannan vijay kumar monisha mohan menon avinash raghudevan kaarthekeyen santhanam,6.28286846932082
tt15561224,Sila Nerangalil Sila Manidhargal,2022,Drama,8.0,1244.0,"Ashok Selvan, Kumar Abhishek, Bhanupriya, Abi Hassan, Ilavarasu",Vishal Venkat,drama drama drama vishal venkat vishal venkat ashok selvan kumar abhishek bhanupriya abi hassan ilavarasu,6.341940811537058
tt1556214,Sex Is Zero 2,2007,"Comedy, Drama, Romance",6.0,1658.0,"Lim Chang-jung, Song Ji-hyo, Choi Seong-guk, Yi Shin, Geon-woo Bae",Tae-yun Yoon,comedy drama romance comedy drama romance comedy drama romance tae-yun yoon tae-yun yoon lim chang-jung song ji-hyo choi seong-guk yi shin geon-woo bae,6.299901595131427
tt15566126,S5,2022,"Horror, Thriller",6.8,7396.0,"Taraka Ratna Nandamuri, Prince Cecil, Sunil, Sai Kumar, Mohammad Ali",Bharrath Komalapati,horror thriller horror thriller horror thriller bharrath komalapati bharrath komalapati taraka ratna nandamuri prince cecil sunil sai kumar mohammad ali,6.361346494468222
tt15566896,Pretty Problems,2022,"Comedy, Drama, Romance",5.7,1630.0,"Britt Rentschler, Michael Tennant, J.J. Nolan, Graham Outerbridge, Charlotte Ubben",Kestrin Pantera,comedy drama romance comedy drama romance comedy drama romance kestrin pantera kestrin pantera britt rentschler michael tennant j.j. nolan graham outerbridge charlotte ubben,6.2922146875851315
